Sprängskiss-ID,Sprängskiss-namn,Referens,Art.nr,Artikelnamn,Mängd,Kommentar,Länk,Sprängskiss-bild,Koordinater
HVA_PL-000026182,KÅPA,1,583943103,BODY KIT,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=583943103,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1041;411;1064;457"
HVA_PL-000026182,KÅPA,2,587423501,DEKAL,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=587423501,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1501;677;1524;724"
HVA_PL-000026182,KÅPA,3,580526801,HATT,4,,https://portal.husqvarnagroup.com/se/spare-parts/?part=580526801,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"691;1855;715;1901"
HVA_PL-000026182,KÅPA,4,586359701,DEKAL,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=586359701,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1108;1856;1131;1903"
HVA_PL-000026182,KÅPA,5,531144702,KABLAGE KPL,1,"Charging Plate Wiring White, Used with Body kit white",https://portal.husqvarnagroup.com/se/spare-parts/?part=531144702,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1988;581;2012;627"
HVA_PL-000026182,KÅPA,5,531144701,KABLAGE KPL,1,Charging Plate Wiring Grey,https://portal.husqvarnagroup.com/se/spare-parts/?part=531144701,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1988;581;2012;627"
HVA_PL-000026182,KÅPA,6,501065601,HÅLLARE KPL,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=501065601,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1958;1380;1981;1426"
HVA_PL-000026182,KÅPA,7,575543314,SCREW,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=575543314,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1942;1465;1965;1512"
HVA_PL-000026182,KÅPA,8,579519802,STÖTFÅNGARE,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=579519802,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"721;2503;744;2549"
HVA_PL-000026182,KÅPA,9,574450101,SKRUV ITXPANT,4,,https://portal.husqvarnagroup.com/se/spare-parts/?part=574450101,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"238;3074;261;3121"
HVA_PL-000026182,KÅPA,10,580497301,INSATS,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=580497301,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1028;2387;1074;2434"
HVA_PL-000026182,KÅPA,11,575543314,SCREW,3,,https://portal.husqvarnagroup.com/se/spare-parts/?part=575543314,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1247;2631;1291;2677"
HVA_PL-000026182,KÅPA,12,580497403,HÅLLARE,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=580497403,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1090;2690;1137;2737"
HVA_PL-000026182,KÅPA,13,580497302,INSATS,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=580497302,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1889;2692;1935;2738"
HVA_PL-000026182,KÅPA,14,575543314,SCREW,3,,https://portal.husqvarnagroup.com/se/spare-parts/?part=575543314,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1786;2890;1833;2936"
HVA_PL-000026182,KÅPA,15,580497404,HÅLLARE,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=580497404,https://p3.aprimocdn.net/husqvarna/e4b49200-a0eb-4183-bca0-b15700f6235c/430X_COVER_up%20to%202017_Original%20file.png,"1525;2955;1571;3001"
HVA_PL-000026183,KÅPA,1,590877001,BODY KIT,1,Cover KIT Top Grey,/se/robotic-personalisation-and-connectivity/automower-originalkaross/,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1908;683;1931;730"
HVA_PL-000026183,KÅPA,1,590877002,BODY KIT,1,Cover KIT Top White,/se/robotic-personalisation-and-connectivity/automower-originalkaross/,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1908;683;1931;730"
HVA_PL-000026183,KÅPA,1,590877003,BODY KIT,1,Cover KIT Top Orange,/se/robotic-personalisation-and-connectivity/automower-originalkaross/,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1908;683;1931;730"
HVA_PL-000026183,KÅPA,2,501065101,KABLAGE KPL,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=501065101,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1906;1156;1929;1202"
HVA_PL-000026183,KÅPA,4,501061102,BODY ASSY,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=501061102,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1083;1172;1106;1219"
HVA_PL-000026183,KÅPA,5,531144701,KABLAGE KPL,1,Charging Plate Wiring,https://portal.husqvarnagroup.com/se/spare-parts/?part=531144701,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"2024;1132;2047;1178"
HVA_PL-000026183,KÅPA,6,501065602,HÅLLARE KPL,1,Holder ASSY,https://portal.husqvarnagroup.com/se/spare-parts/?part=501065602,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1994;1931;2017;1977"
HVA_PL-000026183,KÅPA,7,575543314,SCREW,1,Screw,https://portal.husqvarnagroup.com/se/spare-parts/?part=575543314,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1977;2017;2000;2063"
HVA_PL-000026183,KÅPA,8,587423501,DEKAL,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=587423501,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1581;1383;1604;1429"
HVA_PL-000026183,KÅPA,9,580526801,HATT,4,Cap,https://portal.husqvarnagroup.com/se/spare-parts/?part=580526801,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"745;2245;768;2291"
HVA_PL-000026183,KÅPA,10,501610601,ÖVERFALL,1,CLAMP,https://portal.husqvarnagroup.com/se/spare-parts/?part=501610601,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1954;2595;2000;2641"
HVA_PL-000026183,KÅPA,11,501065001,BUMPER ASSY,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=501065001,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"1231;2706;1278;2753"
HVA_PL-000026183,KÅPA,12,586359701,DEKAL,1,Label Warning,https://portal.husqvarnagroup.com/se/spare-parts/?part=586359701,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"273;2973;319;3019"
HVA_PL-000026183,KÅPA,13,574450101,SKRUV ITXPANT,10,Screw,https://portal.husqvarnagroup.com/se/spare-parts/?part=574450101,https://p3.aprimocdn.net/husqvarna/04e29611-1acb-41ac-9526-b15700f6b614/FM-082781_Original%20file.png,"396;3102;442;3149"
HVA_PL-000026184,ÖVRE CHASSI,1,574450101,SKRUV ITXPANT,8,Screw,https://portal.husqvarnagroup.com/se/spare-parts/?part=574450101,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"405;293;419;329"
HVA_PL-000026184,ÖVRE CHASSI,2,501061301,JOYSTICK KIT,2,Joystick KIT Rear,https://portal.husqvarnagroup.com/se/spare-parts/?part=501061301,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"297;425;311;461"
HVA_PL-000026184,ÖVRE CHASSI,3,501122602,JOYSTICK KIT,2,Column KIT,https://portal.husqvarnagroup.com/se/spare-parts/?part=501122602,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"249;760;263;796"
HVA_PL-000026184,ÖVRE CHASSI,4,503226601,MUTTER 4-KANT,2,Square Nut,https://portal.husqvarnagroup.com/se/spare-parts/?part=503226601,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"380;875;395;911"
HVA_PL-000026184,ÖVRE CHASSI,5,535143201,UTSLAGSBEGRÄNSARE,2,Deflection Limiter,https://portal.husqvarnagroup.com/se/spare-parts/?part=535143201,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"353;1111;367;1147"
HVA_PL-000026184,ÖVRE CHASSI,6,575543314,SCREW,2,Screw,https://portal.husqvarnagroup.com/se/spare-parts/?part=575543314,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"268;1060;283;1096"
HVA_PL-000026184,ÖVRE CHASSI,7,579706302,BUZZER,1,Buzzer,https://portal.husqvarnagroup.com/se/spare-parts/?part=579706302,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"174;1229;189;1265"
HVA_PL-000026184,ÖVRE CHASSI,8,581620903,JOYSTICK KIT,2,Joystick KIT,https://portal.husqvarnagroup.com/se/spare-parts/?part=581620903,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"1159;136;1173;172"
HVA_PL-000026184,ÖVRE CHASSI,9,580526701,STUD,2,Stud,https://portal.husqvarnagroup.com/se/spare-parts/?part=580526701,https://p3.aprimocdn.net/husqvarna/a1600999-cb2f-43da-bb39-adf900133e52/PK-453699_HighResPng.png,"1137;238;1151;274"
