Sprängskiss-ID,Sprängskiss-namn,Referens,Art.nr,Artikelnamn,Mängd,Kommentar,Länk,Sprängskiss-bild,Koordinater
HVA_PL-000027749,CHASSI/RAM,1,594921402,CHASSI,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=594921402,https://p3.aprimocdn.net/husqvarna/a5f798f7-d3c1-435c-91f1-adfb0111f192/QY-661140_HighResPng.png,"844;619;858;655"
HVA_PL-000027749,CHASSI/RAM,2,506916201,MUTTER,4,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506916201,https://p3.aprimocdn.net/husqvarna/a5f798f7-d3c1-435c-91f1-adfb0111f192/QY-661140_HighResPng.png,"1155;1054;1169;1089"
HVA_PL-000027750,BAKRE CHASSI,1,582244601,FÄSTE,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=582244601,https://p3.aprimocdn.net/husqvarna/067cc83f-bc0c-41f3-a849-adfb011201fd/SM-392061_HighResPng.png,"844;847;869;883"
HVA_PL-000027750,BAKRE CHASSI,2,506986102,LAGER,2,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506986102,https://p3.aprimocdn.net/husqvarna/067cc83f-bc0c-41f3-a849-adfb011201fd/SM-392061_HighResPng.png,"966;804;980;840,962;844;987;880"
HVA_PL-000027750,BAKRE CHASSI,3,506987701,FÄSTE,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506987701,https://p3.aprimocdn.net/husqvarna/067cc83f-bc0c-41f3-a849-adfb011201fd/SM-392061_HighResPng.png,"735;1267;749;1302"
HVA_PL-000027750,BAKRE CHASSI,4,506889901,HAKE,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506889901,https://p3.aprimocdn.net/husqvarna/067cc83f-bc0c-41f3-a849-adfb011201fd/SM-392061_HighResPng.png,"447;1645;461;1680"
HVA_PL-000027750,BAKRE CHASSI,5,725249371,SKRUV EHHM,2,M10x25,https://portal.husqvarnagroup.com/se/spare-parts/?part=725249371,https://p3.aprimocdn.net/husqvarna/067cc83f-bc0c-41f3-a849-adfb011201fd/SM-392061_HighResPng.png,"329;1720;343;1756"
HVA_PL-000027751,BAKRE CHASSI,1,506986301,TRANSMISSION,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506986301,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1323;1738;1337;1775"
HVA_PL-000027751,BAKRE CHASSI,2,725246751,SKRUV EHHM,5,M8x80,https://portal.husqvarnagroup.com/se/spare-parts/?part=725246751,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"702;410;716;446,728;327;742;364"
HVA_PL-000027751,BAKRE CHASSI,3,734116401,BRICKA,4,,https://portal.husqvarnagroup.com/se/spare-parts/?part=734116401,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1029;1959;1044;1995"
HVA_PL-000027751,BAKRE CHASSI,4,731231801,MUTTER (HEXAGON),5,M8,https://portal.husqvarnagroup.com/se/spare-parts/?part=731231801,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1029;2009;1043;2046,656;1880;670;1917"
HVA_PL-000027751,BAKRE CHASSI,5,725246251,SKRUV EHHM,1,M8x55,https://portal.husqvarnagroup.com/se/spare-parts/?part=725246251,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"639;464;653;501"
HVA_PL-000027751,BAKRE CHASSI,6,506599301,LÄNK,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506599301,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"627;1814;641;1851"
HVA_PL-000027751,BAKRE CHASSI,7,579596801,HÄVARM,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=579596801,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"176;416;190;452"
HVA_PL-000027751,BAKRE CHASSI,8,584288604,BRICKA,2,,https://portal.husqvarnagroup.com/se/spare-parts/?part=584288604,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"947;283;961;319,332;308;346;345"
HVA_PL-000027751,BAKRE CHASSI,9,725245171,SKRUV EHHM,2,M8x20,https://portal.husqvarnagroup.com/se/spare-parts/?part=725245171,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"780;196;794;233,338;215;352;252"
HVA_PL-000027751,BAKRE CHASSI,10,506987501,JUSTERSTÅNG,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506987501,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"220;385;248;422"
HVA_PL-000027751,BAKRE CHASSI,11,732211401,LOCK NUT,2,M5,https://portal.husqvarnagroup.com/se/spare-parts/?part=732211401,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"216;477;245;513,593;1424;621;1460"
HVA_PL-000027751,BAKRE CHASSI,12,506988201,FRIKOPPLINGSSTÅNG,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506988201,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"237;557;265;594"
HVA_PL-000027751,BAKRE CHASSI,13,506834301,FJÄDER,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506834301,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"628;1714;656;1751"
HVA_PL-000027751,BAKRE CHASSI,14,506988401,REMSPÄNNARE KPL,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506988401,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1299;254;1327;291"
HVA_PL-000027751,BAKRE CHASSI,15,588740401,REMSPÄNNARE,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=588740401,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1158;289;1187;325"
HVA_PL-000027751,BAKRE CHASSI,16,506946901,REMSKIVA,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506946901,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1186;230;1214;266"
HVA_PL-000027751,BAKRE CHASSI,17,725245571,SKRUV EHHM,1,M8x30,https://portal.husqvarnagroup.com/se/spare-parts/?part=725245571,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1144;387;1173;423"
HVA_PL-000027751,BAKRE CHASSI,18,734116441,BRICKA,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=734116441,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1155;162;1184;199"
HVA_PL-000027751,BAKRE CHASSI,19,732211801,LOCK NUT,1,M8,https://portal.husqvarnagroup.com/se/spare-parts/?part=732211801,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1150;127;1178;164"
HVA_PL-000027751,BAKRE CHASSI,20,594924101,FJÄDER,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=594924101,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1128;475;1156;512"
HVA_PL-000027751,BAKRE CHASSI,21,506988801,PENDULUM,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506988801,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"995;1095;1023;1132"
HVA_PL-000027751,BAKRE CHASSI,22,731232001,MUTTER (HEXAGON),1,M10,https://portal.husqvarnagroup.com/se/spare-parts/?part=731232001,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"989;1040;1017;1077"
HVA_PL-000027751,BAKRE CHASSI,23,506989001,EXPANSIONSTANK,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506989001,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1081;1333;1110;1370"
HVA_PL-000027751,BAKRE CHASSI,24,590324701,TANKLOCK KPL,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=590324701,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1050;1262;1078;1299"
HVA_PL-000027751,BAKRE CHASSI,25,505131102,SLANGKLÄMMA,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=505131102,https://p3.aprimocdn.net/husqvarna/3549e4fe-273d-4762-80ee-adfb0111ff21/LD-153178_HighResPng.png,"1087;1431;1116;1468"
HVA_PL-000027752,TRANSMISSION,1,506986301,TRANSMISSION,1,K46H (For spare parts see transmission IPL),https://portal.husqvarnagroup.com/se/spare-parts/?part=506986301,https://p3.aprimocdn.net/husqvarna/f93d8907-81ff-4b95-87d8-adfb0112aa10/WH-771881_HighResPng.png,"881;1683;896;1725"
HVA_PL-000027752,TRANSMISSION,2,506986501,FJÄDERBRICKA,1,,https://portal.husqvarnagroup.com/se/spare-parts/?part=506986501,https://p3.aprimocdn.net/husqvarna/f93d8907-81ff-4b95-87d8-adfb0112aa10/WH-771881_HighResPng.png,"907;638;921;680"
